CVE-2017-12985,tcpdump_4.9.1,tcpdump_4.9.2,ip6_print,,,,,,,,,,,,,
CVE-2017-12902,tcpdump_4.9.1,tcpdump_4.9.2,parse_field,zephyr_print,,,,,,,,,,,,
CVE-2017-12901,tcpdump_4.9.1,tcpdump_4.9.2,eigrp_print,,,,,,,,,,,,,
CVE-2017-12899,tcpdump_4.9.1,tcpdump_4.9.2,decnet_print,print_decnet_ctlmsg,,,,,,,,,,,,
CVE-2017-12898,tcpdump_4.9.1,tcpdump_4.9.2,nfsreq_print_noaddr,parserep,parse_wcc_attr,interp_reply,,,,,,,,,,
CVE-2017-12897,tcpdump_4.9.1,tcpdump_4.9.2,atm_if_print,chdlc_print,ethertype_print,fr_print,gre_print_0,isoclns_print,juniper_mlppp_print,juniper_mfr_print,juniper_atm1_print,juniper_atm2_print,llc_print,mpls_print,null_if_print,handle_ppp
CVE-2017-12896,tcpdump_4.9.1,tcpdump_4.9.2,isakmp_rfc3948_print,,,,,,,,,,,,,
CVE-2017-12895,tcpdump_4.9.1,tcpdump_4.9.2,icmp_print,,,,,,,,,,,,,
CVE-2017-12894,tcpdump_4.9.1,tcpdump_4.9.2,lookup_bytestring,le64addr_string,linkaddr_string,,,,,,,,,,,
CVE-2017-12893,tcpdump_4.9.1,tcpdump_4.9.2,name_len,,,,,,,,,,,,,
CVE-2017-11543,tcpdump_4.9.0,tcpdump_4.9.1,sliplink_print,,,,,,,,,,,,,
CVE-2017-11542,tcpdump_4.9.0,tcpdump_4.9.1,pimv1_print,,,,,,,,,,,,,
CVE-2017-11541,tcpdump_4.9.0,tcpdump_4.9.1,lldp_print,,,,,,,,,,,,,
CVE-2017-11108,tcpdump_4.9.0,tcpdump_4.9.1,stp_print_mstp_bpdu,,,,,,,,,,,,,
